index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
14465,0.977222,0.82886,0.794759,0.65942,7.071068,10161,214991,2098,3150,0.876845,4.410 ,93.312 ,0.911 ,1.367 
14466,0.97638,0.808611,0.806541,0.675801,7.745967,11344,213614,2685,2757,0.896034,4.924 ,92.714 ,1.165 ,1.197 
14467,0.969245,0.734292,0.770531,0.626719,10.77033,11897,211417,4305,2781,0.895288,5.164 ,91.761 ,1.868 ,1.207 
14468,0.982183,0.83569,0.839001,0.722654,7.211103,10696,215599,2103,2002,0.916339,4.642 ,93.576 ,0.913 ,0.869 
14469,0.982313,0.846725,0.84039,0.724718,6.855655,10728,215597,1942,2133,0.912611,4.656 ,93.575 ,0.843 ,0.926 
14470,0.980786,0.808881,0.818781,0.693166,7.416198,10001,215972,2363,2064,0.909052,4.341 ,93.738 ,1.026 ,0.896 
14471,0.979952,0.800376,0.815675,0.688726,8.185353,10220,215561,2549,2070,0.909942,4.436 ,93.559 ,1.106 ,0.898 
14472,0.980174,0.8039,0.820919,0.696236,8.306624,10470,215362,2554,2014,0.913477,4.544 ,93.473 ,1.109 ,0.874 
14473,0.98069,0.825603,0.831573,0.711703,7.483315,10983,214968,2320,2129,0.913476,4.767 ,93.302 ,1.007 ,0.924 
14474,0.975677,0.78677,0.80262,0.670314,8,11394,213402,3088,2516,0.902429,4.945 ,92.622 ,1.340 ,1.092 
14475,0.981389,0.821617,0.817919,0.691932,7,9631,216481,2091,2197,0.902344,4.180 ,93.959 ,0.908 ,0.954 
14476,0.980317,0.807308,0.812936,0.684829,7.483315,9854,216011,2352,2183,0.903936,4.277 ,93.755 ,1.021 ,0.947 
14477,0.98181,0.823515,0.825876,0.703397,7.81025,9939,216270,2130,2061,0.909249,4.314 ,93.867 ,0.924 ,0.895 
14478,0.981428,0.835642,0.828228,0.706817,7.416198,10316,215805,2029,2250,0.905815,4.477 ,93.665 ,0.881 ,0.977 
14479,0.980156,0.836171,0.819972,0.694875,7.141428,10412,215416,2040,2532,0.897503,4.519 ,93.497 ,0.885 ,1.099 
14480,0.97987,0.822794,0.818545,0.692827,7.28011,10461,215301,2253,2385,0.901992,4.540 ,93.447 ,0.978 ,1.035 
14481,0.983255,0.829388,0.830626,0.710317,7.483315,9460,217082,1946,1912,0.911492,4.106 ,94.220 ,0.845 ,0.830 
14482,0.987036,0.854036,0.851445,0.741318,7,8560,218853,1463,1524,0.921115,3.715 ,94.988 ,0.635 ,0.661 
14483,0.985616,0.835213,0.800889,0.667903,7.348469,6665,220421,1315,1999,0.881672,2.893 ,95.669 ,0.571 ,0.868 
14484,0.979918,0.834232,0.780012,0.639361,8.831761,8203,217570,1630,2997,0.862487,3.560 ,94.431 ,0.707 ,1.301 
14485,0.982005,0.813221,0.803265,0.671213,7.549834,8464,217790,1944,2202,0.892351,3.674 ,94.527 ,0.844 ,0.956 
14486,0.982852,0.815279,0.810549,0.681448,7.416198,8452,217997,1915,2036,0.898583,3.668 ,94.617 ,0.831 ,0.884 
14487,0.97043,0.645156,0.70645,0.546133,8.602325,8198,215389,4509,2304,0.880054,3.558 ,93.485 ,1.957 ,1.000 
14488,0.976667,0.814625,0.800475,0.667327,8.185353,10784,214240,2454,2922,0.887742,4.681 ,92.986 ,1.065 ,1.268 
